2024-01-17 21:36:14,476 - INFO - ['S', 'S', 'S', 'S', 'S', 'H']
2024-01-17 21:36:14,477 - INFO - ('현재가: ', 42563.9, ' / EMA5: ', 42707.83, ' / EMA10: ', 42737.93, ' / EMA200: ', 43134.5, ' / EMA200N: ', 43128.86, ' / MACD12: ', -81.66, ' / MACD26: ', -69.5, ' / CCI: ', -58.05, ' / CCIN: ', -73.2)
2024-01-17 21:36:30,293 - INFO - ['S', 'S', 'S', 'S', 'S', 'H']
2024-01-17 21:36:30,293 - INFO - ('현재가: ', 42580.1, ' / EMA5: ', 42707.83, ' / EMA10: ', 42737.93, ' / EMA200: ', 43134.5, ' / EMA200N: ', 43128.98, ' / MACD12: ', -81.66, ' / MACD26: ', -69.5, ' / CCI: ', -58.05, ' / CCIN: ', -75.17)
2024-01-17 21:36:47,415 - INFO - ['S', 'S', 'S', 'S', 'S', 'H']
2024-01-17 21:36:47,415 - INFO - ('현재가: ', 42564.1, ' / EMA5: ', 42707.83, ' / EMA10: ', 42737.93, ' / EMA200: ', 43134.5, ' / EMA200N: ', 43128.8, ' / MACD12: ', -81.66, ' / MACD26: ', -69.5, ' / CCI: ', -58.05, ' / CCIN: ', -101.96)
2024-01-17 21:36:50,501 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 40.03777619674455, ' / D : ', 64.96835918510419, ' / EMA50 : ', 58816635.74783352, ' / EMA100 : ', 58864667.29061422, ' / Minute: ', 'minute15')
2024-01-17 21:36:51,475 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 61.75737438702006, ' / D : ', 56.87848836739953, ' / EMA50 : ', 58869428.72902311, ' / EMA100 : ', 58855234.99391938, ' / Minute: ', 'minute30')
2024-01-17 21:36:52,449 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 9.766093555511887, ' / D : ', 4.09626194556147, ' / EMA50 : ', 58884418.313095, ' / EMA100 : ', 59275068.00695233, ' / Minute: ', 'minute60')
2024-01-17 21:36:53,397 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 76.80886183215027, ' / D : ', 89.51723672870541, ' / EMA50 : ', 59604519.62980313, ' / EMA100 : ', 59622126.46589432, ' / Minute: ', 'minute240')
2024-01-17 21:36:54,339 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 40.03777619674455, ' / D : ', 64.96835918510419, ' / EMA50 : ', 58816635.74783352, ' / EMA100 : ', 58864667.29061422, ' / Minute: ', 'minute15')
2024-01-17 21:36:55,504 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 61.75737438702006, ' / D : ', 56.87848836739953, ' / EMA50 : ', 58869428.72902311, ' / EMA100 : ', 58855234.99391938, ' / Minute: ', 'minute30')
2024-01-17 21:36:56,415 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 9.766093555511887, ' / D : ', 4.09626194556147, ' / EMA50 : ', 58884418.313095, ' / EMA100 : ', 59275068.00695233, ' / Minute: ', 'minute60')
2024-01-17 21:36:57,325 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 76.80886183215027, ' / D : ', 89.51723672870541, ' / EMA50 : ', 59604519.62980313, ' / EMA100 : ', 59622126.46589432, ' / Minute: ', 'minute240')
2024-01-17 21:36:58,271 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 40.03777619674455, ' / D : ', 64.96835918510419, ' / EMA50 : ', 58816635.74783352, ' / EMA100 : ', 58864667.29061422, ' / Minute: ', 'minute15')
2024-01-17 21:36:59,177 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 61.75737438702006, ' / D : ', 56.87848836739953, ' / EMA50 : ', 58869428.72902311, ' / EMA100 : ', 58855234.99391938, ' / Minute: ', 'minute30')
2024-01-17 21:37:00,190 - INFO - ('Symbol: ', 'KRW-BTC', ' / K : ', 9.766093555511887, ' / D : ', 4.09626194556147, ' / EMA50 : ', 58884418.313095, ' / EMA100 : ', 59275068.00695233, ' / Minute: ', 'minute60')
